shape,shape_type,object,frame,xmin,xmax,ymin,ymax,points,timestep,area,xcenter,ycenter,height,proj,y,color,color_bremm,color_schumann_urban,color_steiger,color_teuling,color_ziegler,style
"[[21.2, 0.5987888220915609], [21.8, 0.5987888220915609], [21.8, 0.5730595916123187], [21.2, 0.5730595916123187], [21.2, 0.5987888220915609]]",rect,16,105,1107,1146,100,254,"[[1107, 100], [1146, 100], [1146, 254], [1107, 254], [1107, 100]]",21.0,6006,1126.5,177.0,0.02572923047924226,0.5859242068519398,0.5859242068519398,"(0.6509803921568628, 0.807843137254902, 0.8901960784313725, 1.0)","[224, 74, 147]","[145, 2, 128]","[177, 28, 195]","[223, 181, 80]","[106, 1, 142]",solid
"[[22.2, 0.5987888220915609], [22.8, 0.5987888220915609], [22.8, 0.5730595916123187], [22.2, 0.5730595916123187], [22.2, 0.5987888220915609]]",rect,16,110,1107,1146,100,254,"[[1107, 100], [1146, 100], [1146, 254], [1107, 254], [1107, 100]]",22.0,6006,1126.5,177.0,0.02572923047924226,0.5859242068519398,0.5859242068519398,"(0.6509803921568628, 0.807843137254902, 0.8901960784313725, 1.0)","[224, 74, 147]","[145, 2, 128]","[177, 28, 195]","[223, 181, 80]","[106, 1, 142]",solid
"[[23.2, 0.5987888220915609], [23.8, 0.5987888220915609], [23.8, 0.5730595916123187], [23.2, 0.5730595916123187], [23.2, 0.5987888220915609]]",rect,16,115,1107,1146,100,254,"[[1107, 100], [1146, 100], [1146, 254], [1107, 254], [1107, 100]]",23.0,6006,1126.5,177.0,0.02572923047924226,0.5859242068519398,0.5859242068519398,"(0.6509803921568628, 0.807843137254902, 0.8901960784313725, 1.0)","[224, 74, 147]","[145, 2, 128]","[177, 28, 195]","[223, 181, 80]","[106, 1, 142]",solid
"[[24.2, 0.600547127867196], [24.8, 0.600547127867196], [24.8, 0.5739868166831631], [24.2, 0.5739868166831631], [24.2, 0.600547127867196]]",rect,16,120,1109,1149,100,255,"[[1109, 100], [1149, 100], [1149, 255], [1109, 255], [1109, 100]]",24.0,6200,1129.0,177.5,0.02656031118403297,0.5872669722751795,0.5872669722751795,"(0.6509803921568628, 0.807843137254902, 0.8901960784313725, 1.0)","[224, 75, 147]","[145, 3, 128]","[177, 29, 195]","[223, 181, 79]","[106, 1, 143]",solid
"[[25.2, 0.60230971756399], [25.8, 0.60230971756399], [25.8, 0.5749097578328488], [25.2, 0.5749097578328488], [25.2, 0.60230971756399]]",rect,16,125,1111,1152,100,256,"[[1111, 100], [1152, 100], [1152, 256], [1111, 256], [1111, 100]]",25.0,6396,1131.5,178.0,0.027399959731141107,0.5886097376984194,0.5886097376984194,"(0.6509803921568628, 0.807843137254902, 0.8901960784313725, 1.0)","[224, 75, 147]","[145, 3, 128]","[177, 30, 195]","[222, 181, 80]","[106, 2, 143]",solid
"[[26.2, 0.605071248910115], [26.8, 0.605071248910115], [26.8, 0.5781682240333849], [26.2, 0.5781682240333849], [26.2, 0.605071248910115]]",rect,16,130,1117,1157,100,257,"[[1117, 100], [1157, 100], [1157, 257], [1117, 257], [1117, 100]]",26.0,6280,1137.0,178.5,0.02690302487673017,0.5916197364717499,0.5916197364717499,"(0.6509803921568628, 0.807843137254902, 0.8901960784313725, 1.0)","[223, 75, 148]","[146, 3, 128]","[176, 30, 196]","[223, 180, 79]","[105, 2, 144]",solid
"[[27.2, 0.6073526422961799], [27.8, 0.6073526422961799], [27.8, 0.5797770417975314], [27.2, 0.5797770417975314], [27.2, 0.6073526422961799]]",rect,16,135,1120,1161,100,257,"[[1120, 100], [1161, 100], [1161, 257], [1120, 257], [1120, 100]]",27.0,6437,1140.5,178.5,0.027575600498648423,0.5935648420468557,0.5935648420468557,"(0.6509803921568628, 0.807843137254902, 0.8901960784313725, 1.0)","[223, 75, 148]","[147, 3, 128]","[176, 30, 196]","[223, 180, 78]","[104, 2, 144]",solid
"[[28.2, 0.6106677761317557], [28.8, 0.6106677761317557], [28.8, 0.583593394408677], [28.2, 0.583593394408677], [28.2, 0.6106677761317557]]",rect,16,140,1127,1167,100,258,"[[1127, 100], [1167, 100], [1167, 258], [1127, 258], [1127, 100]]",28.0,6320,1147.0,179.0,0.02707438172307877,0.5971305852702163,0.5971305852702163,"(0.6509803921568628, 0.807843137254902, 0.8901960784313725, 1.0)","[223, 75, 149]","[147, 4, 128]","[175, 31, 196]","[223, 179, 78]","[103, 2, 145]",solid
"[[29.2, 0.6145579872819674], [29.8, 0.6145579872819674], [29.8, 0.5874836055588887], [29.2, 0.5874836055588887], [29.2, 0.6145579872819674]]",rect,16,145,1134,1174,100,258,"[[1134, 100], [1174, 100], [1174, 258], [1134, 258], [1134, 100]]",29.0,6320,1154.0,179.0,0.02707438172307877,0.601020796420428,0.601020796420428,"(0.6509803921568628, 0.807843137254902, 0.8901960784313725, 1.0)","[223, 75, 150]","[148, 4, 128]","[174, 31, 197]","[223, 179, 77]","[102, 2, 146]",solid
"[[30.2, 0.6122418180781749], [30.8, 0.6122418180781749], [30.8, 0.5851674363550962], [30.2, 0.5851674363550962], [30.2, 0.6122418180781749]]",rect,16,150,1130,1170,101,259,"[[1130, 101], [1170, 101], [1170, 259], [1130, 259], [1130, 101]]",30.0,6320,1150.0,180.0,0.02707438172307877,0.5987046272166355,0.5987046272166355,"(0.6509803921568628, 0.807843137254902, 0.8901960784313725, 1.0)","[222, 76, 149]","[148, 4, 128]","[175, 32, 196]","[222, 179, 78]","[102, 3, 146]",solid
"[[31.2, 0.6135482806103483], [31.8, 0.6135482806103483], [31.8, 0.5856213985766852], [31.2, 0.5856213985766852], [31.2, 0.6135482806103483]]",rect,16,155,1131,1172,100,259,"[[1131, 100], [1172, 100], [1172, 259], [1131, 259], [1131, 100]]",31.0,6519,1151.5,179.5,0.02792688203366305,0.5995848395935167,0.5995848395935167,"(0.6509803921568628, 0.807843137254902, 0.8901960784313725, 1.0)","[223, 75, 149]","[148, 4, 128]","[175, 31, 197]","[223, 179, 78]","[102, 2, 146]",solid
"[[32.2, 0.6135482806103483], [32.8, 0.6135482806103483], [32.8, 0.5856213985766852], [32.2, 0.5856213985766852], [32.2, 0.6135482806103483]]",rect,16,160,1131,1172,100,259,"[[1131, 100], [1172, 100], [1172, 259], [1131, 259], [1131, 100]]",32.0,6519,1151.5,179.5,0.02792688203366305,0.5995848395935167,0.5995848395935167,"(0.6509803921568628, 0.807843137254902, 0.8901960784313725, 1.0)","[223, 75, 149]","[148, 4, 128]","[175, 31, 197]","[223, 179, 78]","[102, 2, 146]",solid
"[[33.2, 0.6146597695104087], [33.8, 0.6146597695104087], [33.8, 0.5867328874767456], [33.2, 0.5867328874767456], [33.2, 0.6146597695104087]]",rect,16,165,1133,1174,100,259,"[[1133, 100], [1174, 100], [1174, 259], [1133, 259], [1133, 100]]",33.0,6519,1153.5,179.5,0.02792688203366305,0.6006963284935771,0.6006963284935771,"(0.6509803921568628, 0.807843137254902, 0.8901960784313725, 1.0)","[223, 75, 150]","[148, 4, 128]","[174, 31, 197]","[223, 179, 77]","[102, 2, 146]",solid
"[[34.2, 0.6112840781283094], [34.8, 0.6112840781283094], [34.8, 0.5835328368621536], [34.2, 0.5835328368621536], [34.2, 0.6112840781283094]]",rect,16,170,1127,1168,100,258,"[[1127, 100], [1168, 100], [1168, 258], [1127, 258], [1127, 100]]",34.0,6478,1147.5,179.0,0.02775124126615574,0.5974084574952315,0.5974084574952315,"(0.6509803921568628, 0.807843137254902, 0.8901960784313725, 1.0)","[223, 75, 149]","[147, 4, 128]","[175, 31, 196]","[223, 179, 78]","[103, 2, 145]",solid
"[[35.2, 0.6140022428319372], [35.8, 0.6140022428319372], [35.8, 0.5869278611088584], [35.2, 0.5869278611088584], [35.2, 0.6140022428319372]]",rect,16,175,1133,1173,100,258,"[[1133, 100], [1173, 100], [1173, 258], [1133, 258], [1133, 100]]",35.0,6320,1153.0,179.0,0.02707438172307877,0.6004650519703978,0.6004650519703978,"(0.6509803921568628, 0.807843137254902, 0.8901960784313725, 1.0)","[223, 75, 149]","[148, 4, 128]","[175, 31, 197]","[223, 179, 78]","[102, 2, 146]",solid
"[[36.2, 0.6106286934104173], [36.8, 0.6106286934104173], [36.8, 0.5837256685336871], [36.2, 0.5837256685336871], [36.2, 0.6106286934104173]]",rect,16,180,1127,1167,100,257,"[[1127, 100], [1167, 100], [1167, 257], [1127, 257], [1127, 100]]",36.0,6280,1147.0,178.5,0.02690302487673017,0.5971771809720522,0.5971771809720522,"(0.6509803921568628, 0.807843137254902, 0.8901960784313725, 1.0)","[223, 75, 149]","[147, 3, 128]","[175, 30, 196]","[223, 179, 78]","[103, 2, 145]",solid
"[[37.2, 0.6156694761820279], [37.8, 0.6156694761820279], [37.8, 0.5885950944589492], [37.2, 0.5885950944589492], [37.2, 0.6156694761820279]]",rect,16,185,1136,1176,100,258,"[[1136, 100], [1176, 100], [1176, 258], [1136, 258], [1136, 100]]",37.0,6320,1156.0,179.0,0.02707438172307877,0.6021322853204886,0.6021322853204886,"(0.6509803921568628, 0.807843137254902, 0.8901960784313725, 1.0)","[223, 75, 150]","[148, 4, 128]","[174, 31, 197]","[223, 179, 77]","[102, 2, 146]",solid
"[[38.2, 0.6134074156605682], [38.8, 0.6134074156605682], [38.8, 0.5865043907838381], [38.2, 0.5865043907838381], [38.2, 0.6134074156605682]]",rect,16,190,1132,1172,100,257,"[[1132, 100], [1172, 100], [1172, 257], [1132, 257], [1132, 100]]",38.0,6280,1152.0,178.5,0.02690302487673017,0.5999559032222032,0.5999559032222032,"(0.6509803921568628, 0.807843137254902, 0.8901960784313725, 1.0)","[223, 75, 149]","[148, 3, 128]","[174, 30, 197]","[223, 179, 77]","[102, 2, 145]",solid
"[[39.2, 0.6127975625282052], [39.8, 0.6127975625282052], [39.8, 0.5857231808051264], [39.2, 0.5857231808051264], [39.2, 0.6127975625282052]]",rect,16,195,1131,1171,101,259,"[[1131, 101], [1171, 101], [1171, 259], [1131, 259], [1131, 101]]",39.0,6320,1151.0,180.0,0.02707438172307877,0.5992603716666658,0.5992603716666658,"(0.6509803921568628, 0.807843137254902, 0.8901960784313725, 1.0)","[222, 76, 149]","[148, 4, 128]","[175, 32, 196]","[222, 179, 78]","[102, 3, 146]",solid
"[[40.2, 0.6005385507703922], [40.8, 0.6005385507703922], [40.8, 0.5727873095042364], [40.2, 0.5727873095042364], [40.2, 0.6005385507703922]]",rect,16,200,1108,1149,102,260,"[[1108, 102], [1149, 102], [1149, 260], [1108, 260], [1108, 102]]",40.0,6478,1128.5,181.0,0.02775124126615574,0.5866629301373143,0.5866629301373143,"(0.6509803921568628, 0.807843137254902, 0.8901960784313725, 1.0)","[223, 76, 147]","[145, 5, 128]","[177, 33, 194]","[221, 180, 80]","[107, 3, 144]",solid
"[[41.2, 0.6094630958280238], [41.8, 0.6094630958280238], [41.8, 0.5823887141049451], [41.2, 0.5823887141049451], [41.2, 0.6094630958280238]]",rect,16,205,1125,1165,101,259,"[[1125, 101], [1165, 101], [1165, 259], [1125, 259], [1125, 101]]",41.0,6320,1145.0,180.0,0.02707438172307877,0.5959259049664845,0.5959259049664845,"(0.6509803921568628, 0.807843137254902, 0.8901960784313725, 1.0)","[223, 76, 149]","[147, 4, 128]","[175, 32, 196]","[222, 179, 78]","[104, 3, 146]",solid
"[[42.2, 0.6105745847280842], [42.8, 0.6105745847280842], [42.8, 0.5835002030050055], [42.2, 0.5835002030050055], [42.2, 0.6105745847280842]]",rect,16,210,1127,1167,101,259,"[[1127, 101], [1167, 101], [1167, 259], [1127, 259], [1127, 101]]",42.0,6320,1147.0,180.0,0.02707438172307877,0.5970373938665449,0.5970373938665449,"(0.6509803921568628, 0.807843137254902, 0.8901960784313725, 1.0)","[223, 76, 149]","[147, 4, 128]","[175, 32, 196]","[222, 179, 78]","[103, 3, 146]",solid
"[[43.2, 0.6117466311746681], [43.8, 0.6117466311746681], [43.8, 0.5839953899085123], [43.2, 0.5839953899085123], [43.2, 0.6117466311746681]]",rect,16,215,1128,1169,101,259,"[[1128, 101], [1169, 101], [1169, 259], [1128, 259], [1128, 101]]",43.0,6478,1148.5,180.0,0.02775124126615574,0.5978710105415902,0.5978710105415902,"(0.6509803921568628, 0.807843137254902, 0.8901960784313725, 1.0)","[223, 76, 149]","[147, 4, 128]","[175, 32, 196]","[222, 179, 78]","[103, 3, 146]",solid
"[[44.2, 0.6117466311746681], [44.8, 0.6117466311746681], [44.8, 0.5839953899085123], [44.2, 0.5839953899085123], [44.2, 0.6117466311746681]]",rect,16,220,1128,1169,101,259,"[[1128, 101], [1169, 101], [1169, 259], [1128, 259], [1128, 101]]",44.0,6478,1148.5,180.0,0.02775124126615574,0.5978710105415902,0.5978710105415902,"(0.6509803921568628, 0.807843137254902, 0.8901960784313725, 1.0)","[223, 76, 149]","[147, 4, 128]","[175, 32, 196]","[222, 179, 78]","[103, 3, 146]",solid
"[[45.2, 0.612992536160318], [45.8, 0.612992536160318], [45.8, 0.5850656541266549], [45.2, 0.5850656541266549], [45.2, 0.612992536160318]]",rect,16,225,1130,1171,100,259,"[[1130, 100], [1171, 100], [1171, 259], [1130, 259], [1130, 100]]",45.0,6519,1150.5,179.5,0.02792688203366305,0.5990290951434865,0.5990290951434865,"(0.6509803921568628, 0.807843137254902, 0.8901960784313725, 1.0)","[223, 75, 149]","[148, 4, 128]","[175, 31, 197]","[223, 179, 78]","[102, 2, 146]",solid
"[[46.2, 0.6140628003784606], [46.8, 0.6140628003784606], [46.8, 0.5863115591123048], [46.2, 0.5863115591123048], [46.2, 0.6140628003784606]]",rect,16,230,1132,1173,100,258,"[[1132, 100], [1173, 100], [1173, 258], [1132, 258], [1132, 100]]",46.0,6478,1152.5,179.0,0.02775124126615574,0.6001871797453827,0.6001871797453827,"(0.6509803921568628, 0.807843137254902, 0.8901960784313725, 1.0)","[223, 75, 149]","[148, 4, 128]","[175, 31, 197]","[223, 179, 78]","[102, 2, 146]",solid
"[[47.2, 0.6105745847280842], [47.8, 0.6105745847280842], [47.8, 0.5835002030050055], [47.2, 0.5835002030050055], [47.2, 0.6105745847280842]]",rect,16,235,1127,1167,101,259,"[[1127, 101], [1167, 101], [1167, 259], [1127, 259], [1127, 101]]",47.0,6320,1147.0,180.0,0.02707438172307877,0.5970373938665449,0.5970373938665449,"(0.6509803921568628, 0.807843137254902, 0.8901960784313725, 1.0)","[223, 76, 149]","[147, 4, 128]","[175, 32, 196]","[222, 179, 78]","[103, 3, 146]",solid
"[[48.2, 0.6117466311746681], [48.8, 0.6117466311746681], [48.8, 0.5839953899085123], [48.2, 0.5839953899085123], [48.2, 0.6117466311746681]]",rect,16,240,1128,1169,101,259,"[[1128, 101], [1169, 101], [1169, 259], [1128, 259], [1128, 101]]",48.0,6478,1148.5,180.0,0.02775124126615574,0.5978710105415902,0.5978710105415902,"(0.6509803921568628, 0.807843137254902, 0.8901960784313725, 1.0)","[223, 76, 149]","[147, 4, 128]","[175, 32, 196]","[222, 179, 78]","[103, 3, 146]",solid
"[[49.2, 0.6117466311746681], [49.8, 0.6117466311746681], [49.8, 0.5839953899085123], [49.2, 0.5839953899085123], [49.2, 0.6117466311746681]]",rect,16,245,1128,1169,101,259,"[[1128, 101], [1169, 101], [1169, 259], [1128, 259], [1128, 101]]",49.0,6478,1148.5,180.0,0.02775124126615574,0.5978710105415902,0.5978710105415902,"(0.6509803921568628, 0.807843137254902, 0.8901960784313725, 1.0)","[223, 76, 149]","[147, 4, 128]","[175, 32, 196]","[222, 179, 78]","[103, 3, 146]",solid
