object,frame,xmin,xmax,ymin,ymax,points,timestep,area,xcenter,ycenter
247,10,1286,1453,309,899,"[[1286, 309], [1453, 309], [1453, 899], [1286, 899], [1286, 309]]",2,98530,1369.5,604.0
8,10,342,398,146,320,"[[342, 146], [398, 146], [398, 320], [342, 320], [342, 146]]",2,9744,370.0,233.0
0,10,1544,1638,148,446,"[[1544, 148], [1638, 148], [1638, 446], [1544, 446], [1544, 148]]",2,28012,1591.0,297.0
34,10,1575,1645,109,331,"[[1575, 109], [1645, 109], [1645, 331], [1575, 331], [1575, 109]]",2,15540,1610.0,220.0
3,10,985,1049,146,385,"[[985, 146], [1049, 146], [1049, 385], [985, 385], [985, 146]]",2,15296,1017.0,265.5
7,10,433,490,143,321,"[[433, 143], [490, 143], [490, 321], [433, 321], [433, 143]]",2,10146,461.5,232.0
16,10,1067,1107,101,254,"[[1067, 101], [1107, 101], [1107, 254], [1067, 254], [1067, 101]]",2,6120,1087.0,177.5
26,10,1002,1039,98,239,"[[1002, 98], [1039, 98], [1039, 239], [1002, 239], [1002, 98]]",2,5217,1020.5,168.5
25,10,1201,1242,99,261,"[[1201, 99], [1242, 99], [1242, 261], [1201, 261], [1201, 99]]",2,6642,1221.5,180.0
17,10,1662,1822,225,688,"[[1662, 225], [1822, 225], [1822, 688], [1662, 688], [1662, 225]]",2,74080,1742.0,456.5
33,10,1480,1542,109,319,"[[1480, 109], [1542, 109], [1542, 319], [1480, 319], [1480, 109]]",2,13020,1511.0,214.0
32,10,931,967,97,227,"[[931, 97], [967, 97], [967, 227], [931, 227], [931, 97]]",2,4680,949.0,162.0
122,10,1753,1920,338,1029,"[[1753, 338], [1920, 338], [1920, 1029], [1753, 1029], [1753, 338]]",2,115397,1836.5,683.5
4,10,893,962,155,402,"[[893, 155], [962, 155], [962, 402], [893, 402], [893, 155]]",2,17043,927.5,278.5
12,10,823,1010,360,1005,"[[823, 360], [1010, 360], [1010, 1005], [823, 1005], [823, 360]]",2,120615,916.5,682.5
23,10,1537,1812,404,1198,"[[1537, 404], [1812, 404], [1812, 1198], [1537, 1198], [1537, 404]]",2,218350,1674.5,801.0
9,10,354,409,142,311,"[[354, 142], [409, 142], [409, 311], [354, 311], [354, 142]]",2,9295,381.5,226.5
5,10,599,743,279,749,"[[599, 279], [743, 279], [743, 749], [599, 749], [599, 279]]",2,67680,671.0,514.0
13,10,785,1027,455,1273,"[[785, 455], [1027, 455], [1027, 1273], [785, 1273], [785, 455]]",2,197956,906.0,864.0
21,10,1319,1629,524,1280,"[[1319, 524], [1629, 524], [1629, 1280], [1319, 1280], [1319, 524]]",2,234360,1474.0,902.0
15,10,1742,1920,332,1011,"[[1742, 332], [1920, 332], [1920, 1011], [1742, 1011], [1742, 332]]",2,120862,1831.0,671.5
21,15,1319,1629,524,1280,"[[1319, 524], [1629, 524], [1629, 1280], [1319, 1280], [1319, 524]]",3,234360,1474.0,902.0
5,15,736,873,272,739,"[[736, 272], [873, 272], [873, 739], [736, 739], [736, 272]]",3,63979,804.5,505.5
26,15,1002,1040,98,240,"[[1002, 98], [1040, 98], [1040, 240], [1002, 240], [1002, 98]]",3,5396,1021.0,169.0
40,15,154,223,167,369,"[[154, 167], [223, 167], [223, 369], [154, 369], [154, 167]]",3,13938,188.5,268.0
34,15,1577,1647,109,331,"[[1577, 109], [1647, 109], [1647, 331], [1577, 331], [1577, 109]]",3,15540,1612.0,220.0
39,15,49,244,345,892,"[[49, 345], [244, 345], [244, 892], [49, 892], [49, 345]]",3,106665,146.5,618.5
7,15,466,520,138,310,"[[466, 138], [520, 138], [520, 310], [466, 310], [466, 138]]",3,9288,493.0,224.0
0,15,1553,1649,150,452,"[[1553, 150], [1649, 150], [1649, 452], [1553, 452], [1553, 150]]",3,28992,1601.0,301.0
23,15,1545,1820,403,1194,"[[1545, 403], [1820, 403], [1820, 1194], [1545, 1194], [1545, 403]]",3,217525,1682.5,798.5
9,15,359,412,140,304,"[[359, 140], [412, 140], [412, 304], [359, 304], [359, 140]]",3,8692,385.5,222.0
16,15,1073,1113,101,255,"[[1073, 101], [1113, 101], [1113, 255], [1073, 255], [1073, 101]]",3,6160,1093.0,178.0
1,15,1497,1585,146,435,"[[1497, 146], [1585, 146], [1585, 435], [1497, 435], [1497, 146]]",3,25432,1541.0,290.5
12,15,992,1179,371,1051,"[[992, 371], [1179, 371], [1179, 1051], [992, 1051], [992, 371]]",3,127160,1085.5,711.0
247,15,1390,1574,312,917,"[[1390, 312], [1574, 312], [1574, 917], [1390, 917], [1390, 312]]",3,111320,1482.0,614.5
3,15,964,1026,142,371,"[[964, 142], [1026, 142], [1026, 371], [964, 371], [964, 142]]",3,14198,995.0,256.5
8,15,391,446,141,312,"[[391, 141], [446, 141], [446, 312], [391, 312], [391, 141]]",3,9405,418.5,226.5
383,15,225,403,325,849,"[[225, 325], [403, 325], [403, 849], [225, 849], [225, 325]]",3,93272,314.0,587.0
33,15,1482,1544,109,319,"[[1482, 109], [1544, 109], [1544, 319], [1482, 319], [1482, 109]]",3,13020,1513.0,214.0
32,15,935,971,96,227,"[[935, 96], [971, 96], [971, 227], [935, 227], [935, 96]]",3,4716,953.0,161.5
4,15,867,933,150,385,"[[867, 150], [933, 150], [933, 385], [867, 385], [867, 150]]",3,15510,900.0,267.5
13,15,922,1158,455,1280,"[[922, 455], [1158, 455], [1158, 1280], [922, 1280], [922, 455]]",3,194700,1040.0,867.5
17,15,1685,1847,223,684,"[[1685, 223], [1847, 223], [1847, 684], [1685, 684], [1685, 223]]",3,74682,1766.0,453.5
13,20,995,1243,485,1280,"[[995, 485], [1243, 485], [1243, 1280], [995, 1280], [995, 485]]",4,197160,1119.0,882.5
16,20,1069,1110,101,255,"[[1069, 101], [1110, 101], [1110, 255], [1069, 255], [1069, 101]]",4,6314,1089.5,178.0
40,20,205,269,161,353,"[[205, 161], [269, 161], [269, 353], [205, 353], [205, 161]]",4,12288,237.0,257.0
17,20,1852,1920,218,686,"[[1852, 218], [1920, 218], [1920, 686], [1852, 686], [1852, 218]]",4,31824,1886.0,452.0
5,20,908,1046,276,769,"[[908, 276], [1046, 276], [1046, 769], [908, 769], [908, 276]]",4,68034,977.0,522.5
9,20,382,433,137,297,"[[382, 137], [433, 137], [433, 297], [382, 297], [382, 137]]",4,8160,407.5,217.0
39,20,162,364,358,941,"[[162, 358], [364, 358], [364, 941], [162, 941], [162, 358]]",4,117766,263.0,649.5
12,20,1121,1325,397,1138,"[[1121, 397], [1325, 397], [1325, 1138], [1121, 1138], [1121, 397]]",4,151164,1223.0,767.5
8,20,424,476,136,300,"[[424, 136], [476, 136], [476, 300], [424, 300], [424, 136]]",4,8528,450.0,218.0
7,20,483,535,134,300,"[[483, 134], [535, 134], [535, 300], [483, 300], [483, 134]]",4,8632,509.0,217.0
4,20,835,898,146,370,"[[835, 146], [898, 146], [898, 370], [835, 370], [835, 146]]",4,14112,866.5,258.0
0,20,1550,1646,150,453,"[[1550, 150], [1646, 150], [1646, 453], [1550, 453], [1550, 150]]",4,29088,1598.0,301.5
21,20,1329,1640,521,1280,"[[1329, 521], [1640, 521], [1640, 1280], [1329, 1280], [1329, 521]]",4,236049,1484.5,900.5
3,20,921,981,139,357,"[[921, 139], [981, 139], [981, 357], [921, 357], [921, 139]]",4,13080,951.0,248.0
34,20,1577,1647,109,331,"[[1577, 109], [1647, 109], [1647, 331], [1577, 331], [1577, 109]]",4,15540,1612.0,220.0
26,20,1004,1042,98,239,"[[1004, 98], [1042, 98], [1042, 239], [1004, 239], [1004, 98]]",4,5358,1023.0,168.5
23,20,1537,1812,404,1198,"[[1537, 404], [1812, 404], [1812, 1198], [1537, 1198], [1537, 404]]",4,218350,1674.5,801.0
247,20,1518,1714,300,896,"[[1518, 300], [1714, 300], [1714, 896], [1518, 896], [1518, 300]]",4,116816,1616.0,598.0
1,20,1489,1576,147,436,"[[1489, 147], [1576, 147], [1576, 436], [1489, 436], [1489, 147]]",4,25143,1532.5,291.5
383,20,335,504,314,826,"[[335, 314], [504, 314], [504, 826], [335, 826], [335, 314]]",4,86528,419.5,570.0
33,20,1484,1547,108,319,"[[1484, 108], [1547, 108], [1547, 319], [1484, 319], [1484, 108]]",4,13293,1515.5,213.5
32,20,937,972,96,227,"[[937, 96], [972, 96], [972, 227], [937, 227], [937, 96]]",4,4585,954.5,161.5
4,25,794,854,142,352,"[[794, 142], [854, 142], [854, 352], [794, 352], [794, 142]]",5,12600,824.0,247.0
42,25,102,158,152,316,"[[102, 152], [158, 152], [158, 316], [102, 316], [102, 152]]",5,9184,130.0,234.0
13,25,1074,1340,504,1280,"[[1074, 504], [1340, 504], [1340, 1280], [1074, 1280], [1074, 504]]",5,206416,1207.0,892.0
7,25,497,546,131,291,"[[497, 131], [546, 131], [546, 291], [497, 291], [497, 131]]",5,7840,521.5,211.0
33,25,1488,1551,108,319,"[[1488, 108], [1551, 108], [1551, 319], [1488, 319], [1488, 108]]",5,13293,1519.5,213.5
247,25,1628,1842,301,908,"[[1628, 301], [1842, 301], [1842, 908], [1628, 908], [1628, 301]]",5,129898,1735.0,604.5
16,25,1072,1113,101,255,"[[1072, 101], [1113, 101], [1113, 255], [1072, 255], [1072, 101]]",5,6314,1092.5,178.0
0,25,1553,1649,150,452,"[[1553, 150], [1649, 150], [1649, 452], [1553, 452], [1553, 150]]",5,28992,1601.0,301.0
32,25,935,971,96,227,"[[935, 96], [971, 96], [971, 227], [935, 227], [935, 96]]",5,4716,953.0,161.5
9,25,394,443,134,290,"[[394, 134], [443, 134], [443, 290], [394, 290], [394, 134]]",5,7644,418.5,212.0
43,25,160,332,314,812,"[[160, 314], [332, 314], [332, 812], [160, 812], [160, 314]]",5,85656,246.0,563.0
23,25,1537,1812,404,1198,"[[1537, 404], [1812, 404], [1812, 1198], [1537, 1198], [1537, 404]]",5,218350,1674.5,801.0
26,25,1006,1043,98,239,"[[1006, 98], [1043, 98], [1043, 239], [1006, 239], [1006, 98]]",5,5217,1024.5,168.5
41,25,61,123,161,341,"[[61, 161], [123, 161], [123, 341], [61, 341], [61, 161]]",5,11160,92.0,251.0
12,25,1152,1364,406,1166,"[[1152, 406], [1364, 406], [1364, 1166], [1152, 1166], [1152, 406]]",5,161120,1258.0,786.0
34,25,1575,1645,110,331,"[[1575, 110], [1645, 110], [1645, 331], [1575, 331], [1575, 110]]",5,15470,1610.0,220.5
383,25,467,634,313,837,"[[467, 313], [634, 313], [634, 837], [467, 837], [467, 313]]",5,87508,550.5,575.0
1,25,1469,1555,146,432,"[[1469, 146], [1555, 146], [1555, 432], [1469, 432], [1469, 146]]",5,24596,1512.0,289.0
8,25,443,494,134,293,"[[443, 134], [494, 134], [494, 293], [443, 293], [443, 134]]",5,8109,468.5,213.5
40,25,226,288,157,343,"[[226, 157], [288, 157], [288, 343], [226, 343], [226, 157]]",5,11532,257.0,250.0
3,25,873,930,136,342,"[[873, 136], [930, 136], [930, 342], [873, 342], [873, 136]]",5,11742,901.5,239.0
5,25,1098,1236,283,807,"[[1098, 283], [1236, 283], [1236, 807], [1098, 807], [1098, 283]]",5,72312,1167.0,545.0
39,25,412,604,351,943,"[[412, 351], [604, 351], [604, 943], [412, 943], [412, 351]]",5,113664,508.0,647.0
21,25,1319,1629,524,1280,"[[1319, 524], [1629, 524], [1629, 1280], [1319, 1280], [1319, 524]]",5,234360,1474.0,902.0
41,30,105,165,156,329,"[[105, 156], [165, 156], [165, 329], [105, 329], [105, 156]]",6,10380,135.0,242.5
383,30,659,821,311,849,"[[659, 311], [821, 311], [821, 849], [659, 849], [659, 311]]",6,87156,740.0,580.0
13,30,1074,1340,504,1280,"[[1074, 504], [1340, 504], [1340, 1280], [1074, 1280], [1074, 504]]",6,206416,1207.0,892.0
7,30,512,560,129,285,"[[512, 129], [560, 129], [560, 285], [512, 285], [512, 129]]",6,7488,536.0,207.0
247,30,1719,1920,328,998,"[[1719, 328], [1920, 328], [1920, 998], [1719, 998], [1719, 328]]",6,134670,1819.5,663.0
8,30,449,498,132,289,"[[449, 132], [498, 132], [498, 289], [449, 289], [449, 132]]",6,7693,473.5,210.5
43,30,292,457,306,799,"[[292, 306], [457, 306], [457, 799], [292, 799], [292, 306]]",6,81345,374.5,552.5
5,30,1303,1468,302,879,"[[1303, 302], [1468, 302], [1468, 879], [1303, 879], [1303, 302]]",6,95205,1385.5,590.5
40,30,272,331,151,330,"[[272, 151], [331, 151], [331, 330], [272, 330], [272, 151]]",6,10561,301.5,240.5
33,30,1488,1551,108,318,"[[1488, 108], [1551, 108], [1551, 318], [1488, 318], [1488, 108]]",6,13230,1519.5,213.0
23,30,1545,1820,403,1194,"[[1545, 403], [1820, 403], [1820, 1194], [1545, 1194], [1545, 403]]",6,217525,1682.5,798.5
26,30,1006,1043,98,239,"[[1006, 98], [1043, 98], [1043, 239], [1006, 239], [1006, 98]]",6,5217,1024.5,168.5
16,30,1069,1109,102,256,"[[1069, 102], [1109, 102], [1109, 256], [1069, 256], [1069, 102]]",6,6160,1089.0,179.0
3,30,843,898,133,331,"[[843, 133], [898, 133], [898, 331], [843, 331], [843, 133]]",6,10890,870.5,232.0
4,30,761,819,139,340,"[[761, 139], [819, 139], [819, 340], [761, 340], [761, 139]]",6,11658,790.0,239.5
9,30,394,444,134,289,"[[394, 134], [444, 134], [444, 289], [394, 289], [394, 134]]",6,7750,419.0,211.5
21,30,1329,1640,521,1280,"[[1329, 521], [1640, 521], [1640, 1280], [1329, 1280], [1329, 521]]",6,236049,1484.5,900.5
12,30,1184,1404,415,1196,"[[1184, 415], [1404, 415], [1404, 1196], [1184, 1196], [1184, 415]]",6,171820,1294.0,805.5
1,30,1469,1555,146,432,"[[1469, 146], [1555, 146], [1555, 432], [1469, 432], [1469, 146]]",6,24596,1512.0,289.0
0,30,1556,1652,150,452,"[[1556, 150], [1652, 150], [1652, 452], [1556, 452], [1556, 150]]",6,28992,1604.0,301.0
42,30,121,176,148,306,"[[121, 148], [176, 148], [176, 306], [121, 306], [121, 148]]",6,8690,148.5,227.0
34,30,1577,1647,110,332,"[[1577, 110], [1647, 110], [1647, 332], [1577, 332], [1577, 110]]",6,15540,1612.0,221.0
39,30,632,822,356,978,"[[632, 356], [822, 356], [822, 978], [632, 978], [632, 356]]",6,118180,727.0,667.0
32,30,933,969,96,227,"[[933, 96], [969, 96], [969, 227], [933, 227], [933, 96]]",6,4716,951.0,161.5
34,35,1579,1650,109,331,"[[1579, 109], [1650, 109], [1650, 331], [1579, 331], [1579, 109]]",7,15762,1614.5,220.0
4,35,760,816,135,328,"[[760, 135], [816, 135], [816, 328], [760, 328], [760, 135]]",7,10808,788.0,231.5
5,35,1524,1725,307,916,"[[1524, 307], [1725, 307], [1725, 916], [1524, 916], [1524, 307]]",7,122409,1624.5,611.5
32,35,934,970,96,227,"[[934, 96], [970, 96], [970, 227], [934, 227], [934, 96]]",7,4716,952.0,161.5
39,35,809,999,363,1014,"[[809, 363], [999, 363], [999, 1014], [809, 1014], [809, 363]]",7,123690,904.0,688.5
3,35,807,861,130,320,"[[807, 130], [861, 130], [861, 320], [807, 320], [807, 130]]",7,10260,834.0,225.0
247,35,1758,1920,335,1020,"[[1758, 335], [1920, 335], [1920, 1020], [1758, 1020], [1758, 335]]",7,110970,1839.0,677.5
40,35,302,357,145,315,"[[302, 145], [357, 145], [357, 315], [302, 315], [302, 145]]",7,9350,329.5,230.0
1,35,1460,1545,147,433,"[[1460, 147], [1545, 147], [1545, 433], [1460, 433], [1460, 147]]",7,24310,1502.5,290.0
26,35,1006,1043,98,239,"[[1006, 98], [1043, 98], [1043, 239], [1006, 239], [1006, 98]]",7,5217,1024.5,168.5
41,35,149,206,151,319,"[[149, 151], [206, 151], [206, 319], [149, 319], [149, 151]]",7,9576,177.5,235.0
7,35,523,570,126,279,"[[523, 126], [570, 126], [570, 279], [523, 279], [523, 126]]",7,7191,546.5,202.5
42,35,135,188,146,302,"[[135, 146], [188, 146], [188, 302], [135, 302], [135, 146]]",7,8268,161.5,224.0
33,35,1490,1553,108,318,"[[1490, 108], [1553, 108], [1553, 318], [1490, 318], [1490, 108]]",7,13230,1521.5,213.0
23,35,1561,1840,403,1197,"[[1561, 403], [1840, 403], [1840, 1197], [1561, 1197], [1561, 403]]",7,221526,1700.5,800.0
12,35,1276,1497,401,1163,"[[1276, 401], [1497, 401], [1497, 1163], [1276, 1163], [1276, 401]]",7,168402,1386.5,782.0
13,35,1062,1328,506,1280,"[[1062, 506], [1328, 506], [1328, 1280], [1062, 1280], [1062, 506]]",7,205884,1195.0,893.0
16,35,1092,1132,101,255,"[[1092, 101], [1132, 101], [1132, 255], [1092, 255], [1092, 101]]",7,6160,1112.0,178.0
0,35,1556,1652,150,452,"[[1556, 150], [1652, 150], [1652, 452], [1556, 452], [1556, 150]]",7,28992,1604.0,301.0
383,35,796,950,302,834,"[[796, 302], [950, 302], [950, 834], [796, 834], [796, 302]]",7,81928,873.0,568.0
43,35,481,638,298,792,"[[481, 298], [638, 298], [638, 792], [481, 792], [481, 298]]",7,77558,559.5,545.0
9,35,386,434,133,285,"[[386, 133], [434, 133], [434, 285], [386, 285], [386, 133]]",7,7296,410.0,209.0
21,35,1338,1653,525,1280,"[[1338, 525], [1653, 525], [1653, 1280], [1338, 1280], [1338, 525]]",7,237825,1495.5,902.5
8,35,449,497,130,284,"[[449, 130], [497, 130], [497, 284], [449, 284], [449, 130]]",7,7392,473.0,207.0
39,40,962,1136,344,971,"[[962, 344], [1136, 344], [1136, 971], [962, 971], [962, 344]]",8,109098,1049.0,657.5
44,40,49,263,371,969,"[[49, 371], [263, 371], [263, 969], [49, 969], [49, 371]]",8,127972,156.0,670.0
13,40,1074,1340,504,1280,"[[1074, 504], [1340, 504], [1340, 1280], [1074, 1280], [1074, 504]]",8,206416,1207.0,892.0
40,40,327,380,142,306,"[[327, 142], [380, 142], [380, 306], [327, 306], [327, 142]]",8,8692,353.5,224.0
32,40,934,970,96,227,"[[934, 96], [970, 96], [970, 227], [934, 227], [934, 96]]",8,4716,952.0,161.5
43,40,648,802,297,806,"[[648, 297], [802, 297], [802, 806], [648, 806], [648, 297]]",8,78386,725.0,551.5
3,40,792,844,128,310,"[[792, 128], [844, 128], [844, 310], [792, 310], [792, 128]]",8,9464,818.0,219.0
41,40,161,216,148,311,"[[161, 148], [216, 148], [216, 311], [161, 311], [161, 148]]",8,8965,188.5,229.5
26,40,1009,1047,98,239,"[[1009, 98], [1047, 98], [1047, 239], [1009, 239], [1009, 98]]",8,5358,1028.0,168.5
8,40,470,516,127,274,"[[470, 127], [516, 127], [516, 274], [470, 274], [470, 127]]",8,6762,493.0,200.5
42,40,155,207,145,299,"[[155, 145], [207, 145], [207, 299], [155, 299], [155, 145]]",8,8008,181.0,222.0
23,40,1561,1840,403,1197,"[[1561, 403], [1840, 403], [1840, 1197], [1561, 1197], [1561, 403]]",8,221526,1700.5,800.0
7,40,537,583,124,273,"[[537, 124], [583, 124], [583, 273], [537, 273], [537, 124]]",8,6854,560.0,198.5
4,40,724,778,133,319,"[[724, 133], [778, 133], [778, 319], [724, 319], [724, 133]]",8,10044,751.0,226.0
33,40,1493,1555,108,318,"[[1493, 108], [1555, 108], [1555, 318], [1493, 318], [1493, 108]]",8,13020,1524.0,213.0
383,40,980,1134,308,867,"[[980, 308], [1134, 308], [1134, 867], [980, 867], [980, 308]]",8,86086,1057.0,587.5
12,40,1284,1506,399,1159,"[[1284, 399], [1506, 399], [1506, 1159], [1284, 1159], [1284, 399]]",8,168720,1395.0,779.0
9,40,413,460,129,275,"[[413, 129], [460, 129], [460, 275], [413, 275], [413, 129]]",8,6862,436.5,202.0
1,40,1463,1548,146,432,"[[1463, 146], [1548, 146], [1548, 432], [1463, 432], [1463, 146]]",8,24310,1505.5,289.0
16,40,1092,1132,101,255,"[[1092, 101], [1132, 101], [1132, 255], [1092, 255], [1092, 101]]",8,6160,1112.0,178.0
0,40,1556,1652,150,452,"[[1556, 150], [1652, 150], [1652, 452], [1556, 452], [1556, 150]]",8,28992,1604.0,301.0
5,40,1742,1920,282,864,"[[1742, 282], [1920, 282], [1920, 864], [1742, 864], [1742, 282]]",8,103596,1831.0,573.0
34,40,1577,1647,110,332,"[[1577, 110], [1647, 110], [1647, 332], [1577, 332], [1577, 110]]",8,15540,1612.0,221.0
21,40,1338,1653,525,1280,"[[1338, 525], [1653, 525], [1653, 1280], [1338, 1280], [1338, 525]]",8,237825,1495.5,902.5
41,45,172,226,146,304,"[[172, 146], [226, 146], [226, 304], [172, 304], [172, 146]]",9,8532,199.0,225.0
4,45,732,783,128,305,"[[732, 128], [783, 128], [783, 305], [732, 305], [732, 128]]",9,9027,757.5,216.5
21,45,1348,1665,522,1280,"[[1348, 522], [1665, 522], [1665, 1280], [1348, 1280], [1348, 522]]",9,240286,1506.5,901.0
32,45,934,970,96,227,"[[934, 96], [970, 96], [970, 227], [934, 227], [934, 96]]",9,4716,952.0,161.5
1,45,1466,1551,146,432,"[[1466, 146], [1551, 146], [1551, 432], [1466, 432], [1466, 146]]",9,24310,1508.5,289.0
40,45,339,391,138,298,"[[339, 138], [391, 138], [391, 298], [339, 298], [339, 138]]",9,8320,365.0,218.0
